facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Stephens Health Care,Texas,711 North Graham,Stephenville,76401,254-965-6629,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
MiniPause,Texas,Box 381,Stonewall,78671,830-992-6024,Services: Home Care
A Care Home Health Services,Texas,19901 SW FRWY SUITE #207,Sugar Land,77479,281-207-1272,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Acp Health Care Resources,Texas,5750 Homeward Way,Sugar Land,77479,281-265-1511,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Acura Home Health Care,Texas,13017 JESS PIRTLE BLVD SUITE 100,Sugar Land,77478,281-566-1122,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Acute Health Care Services,Texas,12946 DAIRY ASHFORD RD SUITE 335,Sugar Land,77478,832-999-4165,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alpha Home Health Care,Texas,101 Southwestern Blvd Ste 206,Sugar Land,77478,281-277-0711,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alpha Links HealthCar Services,Texas,10506 Sugar Trace Drive,Sugar Land,77498,281-948-8342,""
Altus Home Health Care Of Houston Lp,Texas,16701 Creek Bend Drive,Sugar Land,77478,713-474-5998,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Amada Senior Care- Sugar Land,Texas,"12808 W. Airport Blvd., Suite 325-B",Sugar Land,77478,832-403-3217,Services: Private Duty Home Care and Home Care
Angel Home Health Care and Hospice,Texas,1631 S Yeaua River Circle,Sugar Land,77478,281-980-3662,""
Anis Health Care Services,Texas,13307 Sun Canyon Court,Sugar Land,77478,281-701-5113,""
Anis Health Care Services,Texas,12808 W AIRPORT BLVD SUITE 340,Sugar Land,77478,713-242-1960,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Asset Health Services,Texas,"14906 Laytham Lane, Suite A",Sugar Land,77498,281-495-9899,""
Assured Care Health Services,Texas,101 Southwestern Boulevard Suite #209,Sugar Land,77478,281-277-5700,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Assured Care Health Services,Texas,"12946 Dairy Ashford Road, Ste 200",Sugar Land,77478,713-272-6200,""
Baker Niazi HomeCare,Texas,3214 Brook Arbor Ln,Sugar Land,77479,956-459-6618,""
BrightStar Care Sugar Land,Texas,101 Southwestern Blvd Ste 120,Sugar Land,77478,281-201-3700,"Services: Private Duty Home Care, Home Care, Home Health Aid, and Nursing Care"
C & C Ultra Health Care Providers,Texas,12808 WEST AIRPORT BLVD STE 333,Sugar Land,77478,832-804-9649,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
C & M Health Services,Texas,10634 Hillsdale Bridge,Sugar Land,77478,281-980-0706,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care Committers Health Services,Texas,17115 Pecan Acres Drive,Sugar Land,77498,281-240-6609,""
Ccc Health Care,Texas,12808 W AIRPORT BLVD #224,Sugar Land,77478,281-650-7014,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Christine Health Care Services,Texas,13313 Southwest Freeway Suite #109,Sugar Land,77478,281-277-9900,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Christine Health Care Services,Texas,3419 Foursome Lane,Sugar Land,77498,281-277-9900,""
Circuit Wide Health Care,Texas,9503 TOLKEN WAY,Sugar Land,77478,281-340-4754,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Comcare Health Services,Texas,104 Industrial Boulevard Ste 207,Sugar Land,77478,281-565-4545,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Consolidated Home Health,Texas,8410 HWY 90A SUITE 200,Sugar Land,77478,281-238-8775,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Cottage Health Care Services,Texas,13313 SOUTHWEST FRWY STE 210,Sugar Land,77478,281-313-0651,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Crescent Health Care,Texas,2303 Upland Park Dr,Sugar Land,77479,281-207-5070,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Customized Health Care Services,Texas,2225 Williams Trace Blvd. Suite #109,Sugar Land,77478,713-667-2427,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Dalcon Health Services,Texas,16943 Dusty Mill Drive East,Sugar Land,77498,713-584-5154,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Davis Home Health,Texas,19901 Southwest Freeway,Sugar Land,77479,281-207-1346,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Daystar Professional Services,Texas,11207 Ashford Point #525,Sugar Land,77478,281-265-2340,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Direcare Health Services,Texas,15006 Sugar Sands Drive,Sugar Land,77498,281-509-4377,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Divinelink Health Care Group,Texas,12808 West Airport Blvd Suite 322,Sugar Land,77478,281-988-5967,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Emex Home Health Agency,Texas,16339 FLINT RUN WAY,Sugar Land,77498,713-334-6949,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Fortune Home Health,Texas,12808 W AIRPORT BLVD STE 222,Sugar Land,77478,281-265-2643,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gablink,Texas,3314 Eveslanding Court,Sugar Land,77498,713-333-6090,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Speech Pathology"
Gablink Medical Services,Texas,3314 Eves Landing Court,Sugar Land,77478,281-240-1765,""
Healthlinks Services,Texas,13313 SOUTHWEST FREEWAY #180,Sugar Land,77478,281-240-1031,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Healthpoint Home Health And Infusion Services,Texas,16523 Terrace Hollow Lane,Sugar Land,77478,832-814-3700,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Dialysis Care,Texas,4718 Kirkwall Drive,Sugar Land,77479,713-690-0299,""
Ivana Home Health Services,Texas,12808 WEST AIRPORT BLVD STE 343,Sugar Land,77478,281-212-3442,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
J Rapha Health Services,Texas,10534 Spanish Grant Drive,Sugar Land,77478,281-980-1211,"Services: Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Joana Home Health Concept,Texas,12808 W AIRPORT BLVD SUITE 322,Sugar Land,77478,832-881-6829,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Joy Home Health Care,Texas,9503 Pickwell Court,Sugar Land,77478,281-498-9372,""
Jubilee Health Care,Texas,14526 Marshall Bridge Lane,Sugar Land,77498,281-277-3781,""
Jubilee Health Care,Texas,3102 Aspen Hollow Lane,Sugar Land,77479,281-762-1917,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Kappa Home Health Services,Texas,13313 Southwest Freeway Suite 240,Sugar Land,77478,281-313-4650,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Latom Care Group Facilities,Texas,12808 W AIRPORT BLVD #348,Sugar Land,77478,832-338-9637,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Libertycare Home And Community Support Services,Texas,136 Eldridge Road Suite E,Sugar Land,77478,281-342-1974,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Little Flower Homehealth,Texas,12808 West Airport Blvd Suite 318,Sugar Land,77478,281-325-0043,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Maximum Care,Texas,14938 White Forge Lane,Sugar Land,77478,281-903-1336,Services: Home Care
E & W Home Care Services,Texas,7938 FM 987,Terrell,75160,214-524-3014,""
Med Source Health Care Services,Texas,12926 DAIRY ASHFORD SUITE 150,Sugar Land,77478,281-265-0095,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Medinurse,Texas,16338 Yabbie Drive,Sugar Land,77498,281-565-0989,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Mercris Home Health,Texas,9402 TOLKEN WAY,Sugar Land,77498,281-302-5105,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Millennium Home Health Services,Texas,13706 Florence Rd Suite B2,Sugar Land,77498,832-532-0601,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Mirage Health Care Services,Texas,12808 West Airport Blvd Suite 345,Sugar Land,77478,713-234-7824,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Mytos Home Health,Texas,12808 West Airport Suite 331,Sugar Land,77478,832-886-0309,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Paragon Hospice & Palliative Care,Texas,"13515 SW Freeway, Suite 209",Sugar Land,77478,281-277-1151,""
Pela Health Care Services,Texas,12808 WEST AIRPORT BLVD SUITE #320,Sugar Land,77478,281-302-6475,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Phoenix Health Care Systems,Texas,14922 Armitage Lane,Sugar Land,77478,281-564-7218,""
Primary Nursing Care,Texas,"4646 Highway 6, Suite 247",Sugar Land,77478,409-892-1028,""
PROMED Personnel Services,Texas,14922 Armitage Lane,Sugar Land,77478,713-240-2621,""
Promede Home Health Services,Texas,12808 West Airport Blvd Suite 220,Sugar Land,77478,713-234-7423,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Psalm 23 Health Services,Texas,4407 Mesa Crossing Lane,Sugar Land,77479,281-491-2034,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Sahara Health Care,Texas,140 Eldridge Rd Suite-B,Sugar Land,77478,832-766-0919,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Saysa Health Care Services,Texas,11934 Hueco Tanks Drive,Sugar Land,77498,713-876-8043,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Serenity Health Care Services,Texas,101 Southwestern Bend Blvd Suite 212,Sugar Land,77478,281-240-5653,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Shalom Health Care Services,Texas,12808 W AIRPORT BLVD SUITE 304,Sugar Land,77478,832-886-4881,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Shiloh First Health Care,Texas,15611 OLETA LANE,Sugar Land,77478,281-750-1371,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Silverado Hospice of Texas,Texas,"2202 Williams Trace Boulevard, Suite 101",Sugar Land,77478,281-565-2900,""
Skyview Home Health Agency,Texas,15102 Beechfork Lane,Sugar Land,77478,281-561-0264,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Special Care Health Services,Texas,13706 Florence Road,Sugar Land,77498,281-494-1835,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Springwell Health Care Services,Texas,14955 Sugar Sweet Drive,Sugar Land,77498,281-324-0602,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St Bridget Home Health,Texas,16330 BETTONG CT,Sugar Land,77498,832-630-6621,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Starching Home Health,Texas,10022 Halston Drive,Sugar Land,77478,281-498-4940,""
Cottage Health Care Services Inc,Texas,13313 southwest Freeway (ste 210),Sugarland,77478,281-313-0651,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Life Foundation Home Care,Texas,Three Sugar Creek Center Suite 100,Sugarland,77478,832-612-0472,Services: Private Duty Home Care and Home Care
Medinurse,Texas,13914 Blue Vista Drive,Sugarland,77478,832-788-9051,""
St. Jude Visiting Nurses,Texas,"19901 Southwest Prkwy, # 215",Sugarland,77479,"",""
Charity Home Health,Texas,2028 East Griffin Parkway,Sullivan City,78572,956-519-0040,""
La Fuente Home Health Services,Texas,801 WEST HWY 83,Sullivan City,78595,956-485-1190,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alternative Health Services of West Texas/DBA Good Heart Hom,Texas,120 Jefferson Street,Sulphur Springs,75482,903-438-1000,""
Exceptional Home Health Care,Texas,1330 Church Street,Sulphur Springs,75482,903-885-5566,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Heart's Choice Health Care, Inc.",Texas,1335 Shannon Rd. E,Sulphur Springs,75482,903-439-6030,"Services: Private Duty Home Care, Home Care, and Nursing Care"
Hopkins County Hospice,Texas,115 Airport Road,Sulphur Springs,75482,903-438-4448,""
Vibrant Home Health Care,Texas,1707 S BROADWAY SUITE #4,Sulphur Springs,75482,903-885-3975,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Vibrant Home Health Care,Texas,"1707 South Broadway, Suite 4",Sulphur Springs,75482,903-885-3975,Services: Home Care
Caregivers Plus,Texas,19234 FM197,Sumner,75486,214-772-4295,""
Ascend Home Care,Texas,2611 North Beltline Road Suite 105,Sunnyvale,75182,972-226-5884,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Caring Home Health,Texas,2515 North Belt Line Road,Sunnyvale,75182,972-226-2929,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
